Measurement_Type,Club,Swing_Type,Yardage
"Eyeballed","P Wedge","Hinge | 45 deg",80
"Eyeballed","P Wedge","Hinge | 45 deg",90
"Eyeballed","P Wedge","Hinge | 45 deg",75
"Eyeballed","P Wedge","Hinge | 45 deg",95
"Eyeballed","P Wedge","Hinge | 45 deg",90
"Eyeballed","P Wedge","Hinge | 45 deg",85
"Eyeballed","P Wedge","Hinge | 45 deg",70
"Eyeballed","P Wedge","Hinge | 45 deg",85
"Eyeballed","P Wedge","Hinge | 45 deg",85
"Eyeballed","P Wedge","Hinge | 45 deg",85
"Eyeballed","P Wedge","Hinge | 90 deg",130
"Eyeballed","P Wedge","Hinge | 90 deg",130
"Eyeballed","P Wedge","Hinge | 90 deg",100
"Eyeballed","P Wedge","Hinge | 90 deg",125
"Eyeballed","P Wedge","Hinge | 90 deg",115
"Eyeballed","P Wedge","Hinge | 90 deg",130
"Eyeballed","P Wedge","Hinge | 90 deg",115
"Eyeballed","P Wedge","Hinge | 90 deg",135
"Eyeballed","P Wedge","Hinge | 90 deg",105
"Eyeballed","P Wedge","Hinge | 90 deg",135
"Eyeballed","52 deg Wedge","Hinge | 45 deg",80
"Eyeballed","52 deg Wedge","Hinge | 45 deg",60
"Eyeballed","52 deg Wedge","Hinge | 45 deg",60
"Eyeballed","52 deg Wedge","Hinge | 45 deg",60
"Eyeballed","52 deg Wedge","Hinge | 45 deg",70
"Eyeballed","52 deg Wedge","Hinge | 45 deg",60
"Eyeballed","52 deg Wedge","Hinge | 45 deg",65
"Eyeballed","52 deg Wedge","Hinge | 45 deg",65
"Eyeballed","52 deg Wedge","Hinge | 45 deg",50
"Eyeballed","52 deg Wedge","Hinge | 45 deg",60
"Eyeballed","52 deg Wedge","Hinge | 90 deg",90
"Eyeballed","52 deg Wedge","Hinge | 90 deg",90
"Eyeballed","52 deg Wedge","Hinge | 90 deg",60
"Eyeballed","52 deg Wedge","Hinge | 90 deg",100
"Eyeballed","52 deg Wedge","Hinge | 90 deg",100
"Eyeballed","52 deg Wedge","Hinge | 90 deg",90
"Eyeballed","52 deg Wedge","Hinge | 90 deg",85
"Eyeballed","52 deg Wedge","Hinge | 90 deg",95
"Eyeballed","52 deg Wedge","Hinge | 90 deg",90
"Eyeballed","52 deg Wedge","Hinge | 90 deg",90
"Eyeballed","60 deg Wedge","Hinge | 45 deg",50
"Eyeballed","60 deg Wedge","Hinge | 45 deg",45
"Eyeballed","60 deg Wedge","Hinge | 45 deg",50
"Eyeballed","60 deg Wedge","Hinge | 45 deg",50
"Eyeballed","60 deg Wedge","Hinge | 45 deg",40
"Eyeballed","60 deg Wedge","Hinge | 45 deg",40
"Eyeballed","60 deg Wedge","Hinge | 45 deg",40
"Eyeballed","60 deg Wedge","Hinge | 45 deg",40
"Eyeballed","60 deg Wedge","Hinge | 45 deg",35
"Eyeballed","60 deg Wedge","Hinge | 45 deg",30
"Eyeballed","60 deg Wedge","Hinge | 90 deg",60
"Eyeballed","60 deg Wedge","Hinge | 90 deg",55
"Eyeballed","60 deg Wedge","Hinge | 90 deg",45
"Eyeballed","60 deg Wedge","Hinge | 90 deg",70
"Eyeballed","60 deg Wedge","Hinge | 90 deg",65
"Eyeballed","60 deg Wedge","Hinge | 90 deg",50
"Eyeballed","60 deg Wedge","Hinge | 90 deg",50
"Eyeballed","60 deg Wedge","Hinge | 90 deg",50
"Eyeballed","60 deg Wedge","Hinge | 90 deg",55
"Eyeballed","60 deg Wedge","Hinge | 90 deg",60
"Eyeballed","60 deg Wedge","No Hinge | 30 deg",12
"Eyeballed","60 deg Wedge","No Hinge | 45 deg",16
"Eyeballed","52 deg Wedge","No Hinge | 30 deg",18
"Eyeballed","52 deg Wedge","No Hinge | 45 deg",25

